Trial,State,Leakage_Objective_Minimize,Endurance_Objective_Maximize,RF_Power,Process_Time,RTA_Temperature,Has_RTA,Constraint_OnOff_g1,Constraint_Voltage_g2,Is_Feasible,Penalty_Applied,Leakage_Current_A_Mean,Leakage_Current_A_Std,Leakage_Current_A_CI95_Low,Leakage_Current_A_CI95_High,Endurance_Cycles_Mean,Endurance_Cycles_Std,Endurance_Cycles_CI95_Low,Endurance_Cycles_CI95_High,On_Off_Ratio_Mean,On_Off_Ratio_Std,On_Off_Ratio_CI95_Low,On_Off_Ratio_CI95_High,Operation_Voltage_V_Mean,Operation_Voltage_V_Std,Operation_Voltage_V_CI95_Low,Operation_Voltage_V_CI95_High
84,TrialState.COMPLETE,4.1838167006867504e-05,34.339429240494376,75.0,60.0,500.0,1.0,-12.89089835652441,-2.770897748266705,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,34.339429240494376,7.3296573462020245,22.78175364236087,51.514010439472806,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.22910225173329474,0.07050427523332944,0.09091387227596906,0.36729063119062044
25,TrialState.COMPLETE,4.1838167006867504e-05,34.32720092116913,50.0,120.0,500.0,1.0,-12.89089835652441,-2.7907522643349343,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,34.32720092116913,7.319634039730934,22.782675301927267,51.47564073767253,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.20924773566506577,0.07515188162218056,0.06195004768559184,0.35654542364453967
50,TrialState.COMPLETE,4.1838167006867504e-05,34.32720092116913,50.0,120.0,500.0,1.0,-12.89089835652441,-2.7907522643349343,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,34.32720092116913,7.319634039730934,22.782675301927267,51.47564073767253,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.20924773566506577,0.07515188162218056,0.06195004768559184,0.35654542364453967
76,TrialState.COMPLETE,4.1838167006867504e-05,34.32720092116913,50.0,120.0,500.0,1.0,-12.89089835652441,-2.7907522643349343,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,34.32720092116913,7.319634039730934,22.782675301927267,51.47564073767253,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.20924773566506577,0.07515188162218056,0.06195004768559184,0.35654542364453967
15,TrialState.COMPLETE,6.607710454826559e-05,34.326816433641746,75.0,60.0,25.0,0.0,-1.1484088919368887,-2.8445991291044708,True,False,6.607710454826559e-05,0.00035207350727837843,3.1563887456427634e-06,0.0013832845372768862,34.326816433641746,7.319318579797386,22.782704730498434,51.47443356330419,6.148408891936889,141.3415508274699,0.06822068782977929,554.1270999315118,0.15540087089552937,0.07343843260847348,0.011461542982921347,0.2993401988081374
49,TrialState.COMPLETE,6.607710454826559e-05,34.326816433641746,75.0,60.0,25.0,0.0,-1.1484088919368887,-2.8445991291044708,True,False,6.607710454826559e-05,0.00035207350727837843,3.1563887456427634e-06,0.0013832845372768862,34.326816433641746,7.319318579797386,22.782704730498434,51.47443356330419,6.148408891936889,141.3415508274699,0.06822068782977929,554.1270999315118,0.15540087089552937,0.07343843260847348,0.011461542982921347,0.2993401988081374
67,TrialState.COMPLETE,6.607710454826559e-05,34.326816433641746,75.0,60.0,25.0,0.0,-1.1484088919368887,-2.8445991291044708,True,False,6.607710454826559e-05,0.00035207350727837843,3.1563887456427634e-06,0.0013832845372768862,34.326816433641746,7.319318579797386,22.782704730498434,51.47443356330419,6.148408891936889,141.3415508274699,0.06822068782977929,554.1270999315118,0.15540087089552937,0.07343843260847348,0.011461542982921347,0.2993401988081374
95,TrialState.COMPLETE,6.607710454826559e-05,34.326816433641746,75.0,60.0,25.0,0.0,-1.1484088919368887,-2.8445991291044708,True,False,6.607710454826559e-05,0.00035207350727837843,3.1563887456427634e-06,0.0013832845372768862,34.326816433641746,7.319318579797386,22.782704730498434,51.47443356330419,6.148408891936889,141.3415508274699,0.06822068782977929,554.1270999315118,0.15540087089552937,0.07343843260847348,0.011461542982921347,0.2993401988081374
18,TrialState.COMPLETE,7.952598779120022e-05,40.954004137649555,50.0,90.0,25.0,0.0,-0.5050694001385514,-2.8685340176598175,True,False,7.952598779120022e-05,0.0014650649691065408,1.101011719528552e-06,0.005744155690617168,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,5.505069400138551,261.487785170118,0.029564844351790825,1025.0616827112144,0.1314659823401823,0.07442999862212074,-0.014416814959174351,0.27734877963953897
48,TrialState.COMPLETE,7.952598779120022e-05,40.954004137649555,50.0,90.0,25.0,0.0,-0.5050694001385514,-2.8685340176598175,True,False,7.952598779120022e-05,0.0014650649691065408,1.101011719528552e-06,0.005744155690617168,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,5.505069400138551,261.487785170118,0.029564844351790825,1025.0616827112144,0.1314659823401823,0.07442999862212074,-0.014416814959174351,0.27734877963953897
74,TrialState.COMPLETE,7.952598779120022e-05,40.954004137649555,50.0,90.0,25.0,0.0,-0.5050694001385514,-2.8685340176598175,True,False,7.952598779120022e-05,0.0014650649691065408,1.101011719528552e-06,0.005744155690617168,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,5.505069400138551,261.487785170118,0.029564844351790825,1025.0616827112144,0.1314659823401823,0.07442999862212074,-0.014416814959174351,0.27734877963953897
98,TrialState.COMPLETE,7.952598779120022e-05,40.954004137649555,50.0,90.0,25.0,0.0,-0.5050694001385514,-2.8685340176598175,True,False,7.952598779120022e-05,0.0014650649691065408,1.101011719528552e-06,0.005744155690617168,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,5.505069400138551,261.487785170118,0.029564844351790825,1025.0616827112144,0.1314659823401823,0.07442999862212074,-0.014416814959174351,0.27734877963953897
5,TrialState.COMPLETE,8.035565608371703e-05,45.87652773747067,75.0,30.0,400.0,1.0,-8.441319800876682,-2.8059019194547568,True,False,8.035565608371703e-05,0.00043047050949795133,3.817877074855859e-06,0.001691262274306825,45.87652773747067,9.712288710468636,30.55819659168642,68.63036833672348,13.441319800876682,311.8420344683207,0.14777827998897347,1222.568553395806,0.19409808054524336,0.07138363125967045,0.05418616327628928,0.33400999781419743
23,TrialState.COMPLETE,8.035565608371703e-05,45.87652773747067,75.0,30.0,400.0,1.0,-8.441319800876682,-2.8059019194547568,True,False,8.035565608371703e-05,0.00043047050949795133,3.817877074855859e-06,0.001691262274306825,45.87652773747067,9.712288710468636,30.55819659168642,68.63036833672348,13.441319800876682,311.8420344683207,0.14777827998897347,1222.568553395806,0.19409808054524336,0.07138363125967045,0.05418616327628928,0.33400999781419743
57,TrialState.COMPLETE,8.035565608371703e-05,45.87652773747067,75.0,30.0,400.0,1.0,-8.441319800876682,-2.8059019194547568,True,False,8.035565608371703e-05,0.00043047050949795133,3.817877074855859e-06,0.001691262274306825,45.87652773747067,9.712288710468636,30.55819659168642,68.63036833672348,13.441319800876682,311.8420344683207,0.14777827998897347,1222.568553395806,0.19409808054524336,0.07138363125967045,0.05418616327628928,0.33400999781419743
79,TrialState.COMPLETE,8.035565608371703e-05,45.87652773747067,75.0,30.0,400.0,1.0,-8.441319800876682,-2.8059019194547568,True,False,8.035565608371703e-05,0.00043047050949795133,3.817877074855859e-06,0.001691262274306825,45.87652773747067,9.712288710468636,30.55819659168642,68.63036833672348,13.441319800876682,311.8420344683207,0.14777827998897347,1222.568553395806,0.19409808054524336,0.07138363125967045,0.05418616327628928,0.33400999781419743
27,TrialState.COMPLETE,9.081257068485381e-05,40.954004137649555,75.0,90.0,25.0,0.0,-0.5787056879052956,-2.848495162014915,True,False,9.081257068485381e-05,0.0016729916818413021,1.2572708290912015e-06,0.0065593846636469956,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,5.578705687905296,264.9854685591396,0.029960306284825246,1038.772997058112,0.15150483798508507,0.07442999862212074,0.005622040685728413,0.29738763528444173
39,TrialState.COMPLETE,9.081257068485381e-05,40.954004137649555,75.0,90.0,25.0,0.0,-0.5787056879052956,-2.848495162014915,True,False,9.081257068485381e-05,0.0016729916818413021,1.2572708290912015e-06,0.0065593846636469956,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,5.578705687905296,264.9854685591396,0.029960306284825246,1038.772997058112,0.15150483798508507,0.07442999862212074,0.005622040685728413,0.29738763528444173
